"Unidade da Federação";"Meningococo C";"Pneumocócica";"Poliomielite";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tetra Viral(SRC+VZ)";" Total"
"11 Rondônia";"105,46";"104,22";"105,44";"100,89";"109,15";"73,56";"109,79";"94,97";"100,43"
"12 Acre";"78,69";"84,98";"71,27";"58,13";"73,01";"58,75";"75,71";"64,45";"70,62"
"13 Amazonas";"82,77";"88,36";"76,24";"79,58";"88,89";"68,19";"83,56";"75,80";"80,42"
"14 Roraima";"97,78";"100,64";"88,45";"86,85";"114,81";"87,45";"90,77";"83,64";"93,80"
"15 Pará";"72,49";"75,72";"63,15";"59,71";"74,02";"43,22";"69,61";"62,39";"65,04"
"16 Amapá";"96,36";"103,85";"47,59";"74,92";"90,67";"29,41";"97,36";"86,08";"78,28"
"17 Tocantins";"92,43";"97,31";"84,77";"84,19";"109,59";"89,23";"91,89";"88,32";"92,21"
"21 Maranhão";"76,51";"80,74";"69,43";"67,43";"77,11";"56,96";"80,01";"51,68";"69,98"
"22 Piauí";"79,81";"82,49";"70,69";"75,44";"93,42";"66,81";"81,48";"65,66";"76,98"
"23 Ceará";"115,99";"119,75";"107,89";"112,13";"117,20";"88,34";"119,76";"91,06";"109,01"
"24 Rio Grande do Norte";"79,53";"84,42";"70,25";"73,17";"88,25";"61,27";"96,05";"54,28";"75,90"
"25 Paraíba";"89,19";"93,52";"85,46";"77,02";"90,47";"67,91";"96,59";"61,22";"82,67"
"26 Pernambuco";"96,15";"100,13";"90,38";"90,72";"103,12";"71,55";"112,65";"70,12";"91,85"
"27 Alagoas";"89,65";"94,37";"80,07";"80,95";"90,23";"75,56";"102,24";"63,96";"84,63"
"28 Sergipe";"84,90";"87,71";"78,29";"80,04";"90,83";"63,74";"92,09";"75,19";"81,60"
"29 Bahia";"77,67";"79,58";"70,72";"67,93";"82,72";"63,64";"85,70";"59,46";"73,43"
"31 Minas Gerais";"94,75";"95,71";"88,29";"85,85";"106,79";"90,57";"98,93";"91,82";"94,09"
"32 Espírito Santo";"94,01";"95,64";"89,28";"92,44";"107,60";"78,53";"104,31";"81,52";"92,92"
"33 Rio de Janeiro";"98,30";"107,63";"89,93";"87,37";"98,73";"64,52";"109,26";"73,79";"91,19"
"35 São Paulo";"90,42";"93,58";"83,84";"86,84";"80,76";"77,72";"92,96";"80,97";"85,89"
"41 Paraná";"93,55";"95,22";"87,54";"84,05";"102,10";"75,00";"91,87";"92,63";"90,24"
"42 Santa Catarina";"101,36";"103,02";"92,12";"93,69";"97,05";"87,25";"98,97";"99,59";"96,63"
"43 Rio Grande do Sul";"91,16";"94,30";"84,46";"84,95";"98,55";"89,85";"90,45";"87,12";"90,11"
"50 Mato Grosso do Sul";"101,41";"103,30";"93,78";"93,96";"113,21";"87,46";"100,98";"94,94";"98,63"
"51 Mato Grosso";"95,67";"99,64";"90,64";"85,86";"98,15";"77,84";"96,68";"85,98";"91,31"
"52 Goiás";"87,68";"91,78";"82,10";"79,68";"94,40";"75,35";"85,93";"85,20";"85,26"
"53 Distrito Federal";"148,87";"140,73";"136,83";"123,76";"153,72";"101,15";"131,75";"129,99";"133,35"
"Total";"91,68";"95,00";"84,43";"84,10";"93,86";"74,36";"95,41";"79,04";"87,23"
