"Unidade da Federação";"Meningococo C";"Pneumocócica";"Poliomielite";"Tríplice Viral  D1";" Total"
"11 Rondônia";"119,99";"90,78";"107,32";"102,72";"105,20"
"12 Acre";"75,19";"50,85";"111,03";"105,29";"85,59"
"13 Amazonas";"83,28";"61,39";"87,15";"94,67";"81,62"
"14 Roraima";"93,86";"74,13";"95,52";"97,98";"90,37"
"15 Pará";"61,60";"46,31";"101,54";"109,25";"79,67"
"16 Amapá";"74,80";"61,79";"84,58";"93,00";"78,54"
"17 Tocantins";"118,40";"94,29";"99,62";"91,41";"100,93"
"21 Maranhão";"70,50";"50,76";"102,93";"112,84";"84,26"
"22 Piauí";"108,34";"78,36";"98,47";"97,02";"95,54"
"23 Ceará";"98,96";"81,64";"100,00";"110,92";"97,88"
"24 Rio Grande do Norte";"90,37";"80,39";"96,88";"99,47";"91,78"
"25 Paraíba";"82,65";"82,86";"101,97";"102,34";"92,46"
"26 Pernambuco";"108,14";"92,70";"109,60";"113,67";"106,03"
"27 Alagoas";"88,03";"67,98";"90,61";"89,95";"84,14"
"28 Sergipe";"102,92";"94,00";"103,40";"98,03";"99,59"
"29 Bahia";"93,47";"66,46";"97,32";"100,29";"89,39"
"31 Minas Gerais";"106,04";"101,25";"103,22";"100,80";"102,83"
"32 Espírito Santo";"122,22";"106,20";"108,26";"103,76";"110,11"
"33 Rio de Janeiro";"106,89";"69,43";"112,15";"107,16";"98,90"
"35 São Paulo";"122,05";"86,63";"100,30";"100,34";"102,33"
"41 Paraná";"120,45";"94,19";"102,50";"98,59";"103,93"
"42 Santa Catarina";"131,03";"102,77";"101,18";"99,79";"108,69"
"43 Rio Grande do Sul";"117,08";"92,79";"95,07";"93,87";"99,70"
"50 Mato Grosso do Sul";"113,31";"89,78";"95,54";"96,29";"98,73"
"51 Mato Grosso";"107,06";"74,48";"103,22";"98,48";"95,81"
"52 Goiás";"123,55";"99,83";"107,11";"115,54";"111,51"
"53 Distrito Federal";"108,78";"74,72";"86,48";"89,52";"89,87"
"Total";"105,66";"81,65";"101,33";"102,39";"97,76"
