"Unidade da Federação";"Meningococo C";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tetra Viral(SRC+VZ)";" Total"
"11 Rondônia";"92,63";"102,44";"98,26";"63,78";"97,68";"89,81";"75,47";"106,42";"70,74";"88,68"
"12 Acre";"89,67";"91,53";"81,73";"50,98";"78,82";"85,96";"70,66";"87,39";"75,68";"79,21"
"13 Amazonas";"89,23";"92,51";"83,29";"75,83";"86,41";"90,88";"77,02";"92,12";"72,71";"84,46"
"14 Roraima";"83,54";"90,26";"79,76";"67,68";"72,63";"77,20";"69,29";"81,21";"74,53";"77,52"
"15 Pará";"77,41";"82,14";"72,72";"39,49";"73,55";"74,55";"60,00";"82,81";"59,90";"68,82"
"16 Amapá";"84,90";"84,90";"73,01";"42,48";"76,09";"85,77";"56,30";"87,24";"64,43";"73,01"
"17 Tocantins";"93,52";"94,02";"88,17";"65,91";"90,44";"95,13";"75,97";"91,07";"81,35";"86,15"
"21 Maranhão";"77,80";"84,13";"75,73";"40,65";"75,08";"77,11";"63,56";"87,05";"6,94";"65,05"
"22 Piauí";"85,44";"86,74";"81,85";"52,71";"81,79";"84,11";"67,15";"89,01";"2,14";"71,05"
"23 Ceará";"97,42";"98,85";"93,54";"64,50";"89,82";"93,38";"80,25";"103,02";"13,04";"81,64"
"24 Rio Grande do Norte";"85,25";"89,32";"80,74";"54,99";"87,32";"84,86";"71,49";"93,73";"3,74";"73,09"
"25 Paraíba";"96,90";"99,90";"92,60";"63,83";"90,12";"89,10";"78,26";"105,74";"13,22";"81,17"
"26 Pernambuco";"88,71";"90,14";"85,64";"57,10";"86,37";"88,14";"72,19";"101,00";"7,78";"75,47"
"27 Alagoas";"91,80";"94,73";"87,89";"60,47";"89,52";"91,51";"80,00";"106,22";"3,43";"78,36"
"28 Sergipe";"86,80";"84,73";"80,86";"65,62";"84,39";"87,29";"71,16";"90,99";"0,81";"73,28"
"29 Bahia";"78,53";"79,56";"74,83";"51,86";"73,59";"78,68";"65,83";"84,65";"1,79";"65,85"
"31 Minas Gerais";"91,46";"91,88";"88,52";"76,71";"87,10";"89,93";"81,41";"96,97";"1,37";"79,80"
"32 Espírito Santo";"90,46";"91,76";"86,68";"78,79";"88,41";"91,72";"78,71";"95,01";"3,42";"79,36"
"33 Rio de Janeiro";"76,81";"78,40";"73,62";"53,83";"73,48";"71,95";"60,18";"96,58";"6,76";"65,98"
"35 São Paulo";"87,88";"89,81";"86,62";"82,67";"82,85";"86,34";"78,83";"91,80";"26,81";"79,25"
"41 Paraná";"92,93";"92,38";"89,69";"86,79";"88,42";"90,44";"80,90";"91,99";"83,02";"88,52"
"42 Santa Catarina";"97,88";"97,88";"93,68";"99,46";"93,59";"94,87";"84,07";"95,82";"89,32";"93,96"
"43 Rio Grande do Sul";"90,81";"89,64";"85,09";"85,15";"86,90";"91,35";"80,85";"91,23";"82,89";"87,12"
"50 Mato Grosso do Sul";"97,25";"98,17";"94,41";"94,68";"96,63";"97,09";"92,92";"104,88";"81,86";"95,33"
"51 Mato Grosso";"90,31";"90,58";"85,81";"74,38";"90,44";"89,42";"74,42";"89,91";"79,44";"85,13"
"52 Goiás";"85,67";"86,99";"81,52";"67,60";"84,87";"84,76";"73,61";"88,39";"71,18";"80,61"
"53 Distrito Federal";"85,69";"88,06";"84,32";"79,77";"79,87";"84,33";"77,23";"85,71";"84,27";"83,30"
"Total";"87,41";"89,07";"84,19";"68,45";"83,47";"85,78";"74,62";"93,12";"34,24";"78,01"
